,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q1_4,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q8,Q43_1,Q43_2,Q43_3,Q9_1,Q9_2,Q9_3,Q9_4,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q18_1,Q18_2,Q18_3,Q18_4,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q21,Q22,Q23,Q24,Q25
5,23/8/2020 02:51,23/8/2020 02:53,1,,100,106,1,23/8/2020 02:53,R_eQWt5R6HtEFxu2R,,,,,22.27949524,114.1459961,preview,EN,1,3,3,2,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,2,2,1,2,1,3,3,3,2,3,1,3,2,2,2,2,,,,1,2,2,2,1,2,2,2,3,3,1,1,2,3,2,1,1,2,1,1,2,,,,,1,2,2,2,1,4,1,1,2,4,3,2,2,3,2,1,5,2,3
6,23/8/2020 08:42,23/8/2020 08:44,0,218.250.91.249,100,122,1,23/8/2020 08:44,R_DGeWm5IqRnYm7bX,,,,,22.27949524,114.1459961,anonymous,EN,5,4,4,4,5,3,4,4,3,3,3,4,3,3,2,3,3,3,3,3,3,3,4,3,3,2,3,3,3,3,3,2,,4,2,,,,3,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,3,3,4,3,3,4,4,3,1,1,2,1
7,24/8/2020 23:18,24/8/2020 23:21,0,45.64.243.116,100,192,1,24/8/2020 23:21,R_1Pc8RvM2ejeEp1Y,,,,,22.27949524,114.1459961,anonymous,EN,2,2,2,3,3,2,2,2,2,2,1,3,1,1,2,1,1,3,4,1,1,2,2,1,1,3,3,4,2,1,1,1,5,1,1,1,1,1,1,1,1,2,1,1,3,2,1,1,1,1,1,1,1,1,2,2,1,1,2,,,,,1,1,1,1,3,4,3,2,2,2,2,3,2,4,2,20,1,2,1
8,24/8/2020 23:18,24/8/2020 23:21,0,116.49.183.108,100,212,1,24/8/2020 23:21,R_SDgRhYdE5EGI0ox,,,,,22.27949524,114.1459961,anonymous,EN,2,3,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,2,2,2,2,1,4,3,3,2,1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,2,3,2,2,3,2,3,2,21,3,4,1
9,24/8/2020 23:19,24/8/2020 23:23,0,58.176.185.120,100,197,1,24/8/2020 23:23,R_TnMWofHw4puETcJ,,,,,22.46910095,114.0061035,anonymous,EN,1,3,2,4,2,2,2,2,3,3,3,3,2,2,2,3,2,3,3,2,3,3,2,1,1,2,3,3,2,4,3,1,2,2,1,2,1,1,2,1,2,3,1,1,1,2,1,1,2,,,,,2,,,,,1,1,1,1,1,2,1,1,1,3,2,3,3,4,3,4,2,3,3,2,20,2,2,1
10,24/8/2020 23:20,24/8/2020 23:24,0,210.6.218.56,100,257,1,24/8/2020 23:24,R_zSbPdnXCYRtJUEp,,,,,22.43330383,114.0332947,anonymous,EN,2,2,2,4,2,2,2,3,2,2,2,2,2,2,3,4,2,3,3,2,2,3,2,2,2,3,4,3,2,4,4,2,2,2,2,,,,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,4,3,3,4,3,3,2,20,1,4,1
11,24/8/2020 23:21,24/8/2020 23:25,0,182.239.85.103,100,271,1,24/8/2020 23:25,R_2Bfy1Ru0V8JEjwl,,,,,22.27949524,114.1459961,anonymous,EN,2,2,3,3,2,2,3,2,2,2,2,1,1,2,1,2,2,2,4,1,1,3,1,2,2,1,2,2,5,4,4,4,3,2,1,2,2,2,1,1,2,4,1,3,4,3,2,2,1,2,2,3,2,1,3,3,3,3,2,,,,,1,1,1,1,3,3,3,2,3,3,2,4,2,3,1,19,4,3,1
12,24/8/2020 23:23,24/8/2020 23:27,0,182.239.90.106,100,243,1,24/8/2020 23:27,R_BMu0KWJZ21IQ15T,,,,,22.27949524,114.1459961,anonymous,EN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,2,1,1,1,1,1,2,,,,1,1,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,4,5,3,2,2,3,3,5,1,3,3,23,5,2,1
13,24/8/2020 23:27,24/8/2020 23:28,0,124.244.89.54,100,87,1,24/8/2020 23:28,R_C9saXOaNHLV0YDv,,,,,22.26669312,114.2333069,anonymous,EN,2,3,3,3,3,3,3,3,3,2,4,3,2,1,2,3,2,4,2,4,3,2,3,2,3,2,2,2,4,2,3,4,4,3,1,2,2,2,4,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,1,2,2,4,2,2,2,1,20,2,3,1
14,24/8/2020 23:22,24/8/2020 23:30,0,137.189.240.37,100,446,1,24/8/2020 23:30,R_1mgxeOKQY7NidhM,,,,,22.27949524,114.1459961,anonymous,EN,1,1,1,5,3,1,1,2,4,3,2,5,1,1,1,1,1,1,1,1,1,1,4,1,2,1,5,4,4,5,5,1,1,1,2,,,,1,1,2,2,1,2,1,1,1,1,2,,,,,2,,,,,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,4,3,3,4,1,24,5,6,1
15,24/8/2020 23:19,24/8/2020 23:32,0,113.255.233.138,100,792,1,24/8/2020 23:32,R_2uqWD9dnCpMmACu,,,,,22.27949524,114.1459961,anonymous,EN,1,2,2,3,2,2,2,2,4,2,2,4,2,1,2,2,2,3,2,3,3,2,5,1,1,2,2,3,2,2,3,2,2,1,1,4,2,1,1,1,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,2,3,3,3,4,2,2,2,22,2,4,1
16,24/8/2020 23:31,24/8/2020 23:34,0,14.0.236.77,100,194,1,24/8/2020 23:34,R_3R3DOh3YtDpBZBd,,,,,22.27949524,114.1459961,anonymous,EN,2,2,2,3,2,2,3,2,2,2,2,2,1,2,2,4,2,3,2,2,2,2,2,2,2,3,2,3,2,1,1,1,1,2,1,1,2,1,2,3,2,2,1,2,2,1,2,1,1,1,2,1,1,1,1,2,1,1,2,,,,,1,1,1,1,2,3,2,2,4,2,2,3,2,3,2,20,1,1,1
17,24/8/2020 23:29,24/8/2020 23:35,0,119.247.40.176,100,344,1,24/8/2020 23:35,R_1pRPdz4SOlselHj,,,,,22.27949524,114.1459961,anonymous,EN,1,1,1,2,3,2,2,2,2,2,1,2,2,1,1,1,1,1,1,2,2,2,2,1,1,2,2,1,2,1,2,2,1,1,1,2,1,1,2,1,2,4,1,3,2,2,1,1,1,5,3,1,1,1,5,3,1,1,2,,,,,1,1,1,1,2,3,2,2,3,2,2,4,1,3,1,19,3,3,1
18,24/8/2020 23:31,24/8/2020 23:35,0,137.189.134.49,100,237,1,24/8/2020 23:35,R_ZxiodejVMoZfiq5,,,,,22.38330078,114.1832886,anonymous,EN,2,2,2,3,2,1,2,1,2,2,1,3,2,2,2,3,2,4,2,2,2,3,2,2,2,2,3,2,2,2,2,1,1,2,1,1,2,1,1,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,2,3,2,3,3,3,3,1,22,4,4,1
19,24/8/2020 23:18,24/8/2020 23:38,0,211.253.26.240,100,1177,1,24/8/2020 23:38,R_BYalEadkAu5V6iR,,,,,36.63529968,127.467804,anonymous,EN,1,1,2,3,4,2,2,4,4,4,3,4,3,2,2,3,2,4,4,2,3,2,3,2,2,4,2,2,2,4,3,2,3,2,1,2,3,2,1,2,2,2,1,2,2,2,1,2,1,3,1,1,1,1,4,4,1,2,2,,,,,2,2,1,1,2,2,2,2,4,3,3,2,2,4,2,19,2,2,1
20,24/8/2020 23:26,24/8/2020 23:39,0,1.64.195.12,100,762,1,24/8/2020 23:39,R_3Gq539CkUdpUT9G,,,,,22.43330383,114.0332947,anonymous,EN,2,2,2,3,2,2,3,2,4,2,3,3,2,2,3,3,2,3,2,2,2,3,4,2,2,3,4,3,2,4,2,2,2,2,2,,,,1,1,3,4,1,1,3,2,1,2,1,1,1,1,1,1,1,3,1,3,2,,,,,1,2,1,1,2,3,3,2,2,3,2,3,2,3,2,18,5,2,1
