,,Q6,Q8,Q43,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q1-4,"Q5,7"
,,你一星期內通常接觸多少次假消息？,事實查核（Fact-checking）專頁是指一些專門查證坊間流傳的新聞或者傳言的專頁，例子有求驗傳媒、事實查核實驗室、傳真社等。請問你有沒有讚好／追蹤事實查核專頁？,以下問題關於你使用事實查核專頁的頻率，每行只需選擇一個答案。,新聞消費是指接收及使用新聞資訊 。以下問題是有關你在不同媒介上的新聞消費頻率，每行只需選擇一個答案。,你有沒有使用社交媒體消費新聞？,你有多經常從以下的社交媒體平台上閱覽新聞報導？,傳統媒體專頁是指由紙媒、電台、電視台營運的專頁，例子有明報、蘋果日報、文匯報、香港電台、有線新聞等等。請問你有沒有讚好／追蹤傳統媒體專頁？,以下問題是有關你在透過傳統媒體專頁消費新聞的頻率，請根據你平常的使用行為作答，每行只需選擇一個答案。,"網絡媒體專頁是指由非傳統新聞機構營運的專頁，例子有立場新聞、輔仁網、香港獨立媒體網等。
請問你有沒有讚好／追蹤網絡媒體專頁？",以下問題是有關你在透過網絡媒體專頁消費新聞的頻率，請根據你平常的使用行為作答，每行只需選擇一個答案。,政府官方專頁是指由政府部門營運，用於發放及公布消息的專頁，例子有政府新聞網、衞生署衞生防護中心等）。請問你有沒有讚好／追蹤政府官方專頁？,以下問題是有關你在透過政府官方專頁消費新聞的頻率，請根據你平常的使用行為作答，每行只需選擇一個答案。,以下問題是有關你在透過朋友/家人分享或轉載的消費新聞的頻率，請根據你平常的使用行為作答，每行只需選擇一個答案。,你有多大程度相信由以下媒介發布的資訊？,你有多大程度相信由以下專頁／對象發布的資訊？,性別,年齡,學院 / 學系,修讀學年,修讀學位,media literacy,fake news and content farm
Q6,你一星期內通常接觸多少次假消息？,1,-0.016556912,-0.042197656,0.035988168,-0.010355211,0.171750664,0.040913402,-0.064380187,-0.02793267,-0.101667055,-0.017680322,0.316945947,-0.057213758,0.145168047,0.191340072,-0.123816122,-0.079197809,0.012263594,0.12089509,0.078154569,0.11161684,0.149018895
Q8,事實查核（Fact-checking）專頁是指一些專門查證坊間流傳的新聞或者傳言的專頁，例子有求驗傳媒、事實查核實驗室、傳真社等。請問你有沒有讚好／追蹤事實查核專頁？,-0.016556912,1,,-0.162775224,0.112739008,-0.13298302,0.200493313,-0.275011348,0.189122172,-0.32403615,0.088399139,-0.255030685,-0.051172537,0.146390031,0.149072713,0.14892753,-0.133707959,0.061786365,-0.165367981,0.1158807,0.012339003,0.198411445
Q43,以下問題關於你使用事實查核專頁的頻率，每行只需選擇一個答案。,-0.042197656,,1,0.132181752,0.322043205,0.340345288,-0.1324484,0.641540387,-0.282864102,0.756225796,0.065903926,0.580041657,0.467689734,0.086394293,-0.148551687,0.051031036,0.093247675,0.016881199,0.116143842,,-0.002542139,-0.063823498
Q9,新聞消費是指接收及使用新聞資訊 。以下問題是有關你在不同媒介上的新聞消費頻率，每行只需選擇一個答案。,0.035988168,-0.162775224,0.132181752,1,0.041353801,0.236856542,-0.195794677,0.217580723,-0.063931162,0.359007763,-0.370668585,0.165638838,0.249773905,-0.123374367,-0.065019492,0.017191549,-0.14705942,0.062401449,0.099907943,-0.041704034,0.150208226,0.084443755
Q10,你有沒有使用社交媒體消費新聞？,-0.010355211,0.112739008,0.322043205,0.041353801,1,,,,,,,,,0.195656955,0.142598993,0.015733968,0.058196656,0.080557269,0.106035391,-0.092694126,0.080691777,0.110871778
Q11,你有多經常從以下的社交媒體平台上閱覽新聞報導？,0.171750664,-0.13298302,0.340345288,0.236856542,,1,-0.423830991,0.115573,-0.331266176,0.166576439,0.261109618,0.219744751,0.105517493,-0.168892069,-0.229636875,-0.075912466,-0.135279483,0.080524764,-0.146643046,0.118615907,-0.100647781,-0.095207027
Q12,傳統媒體專頁是指由紙媒、電台、電視台營運的專頁，例子有明報、蘋果日報、文匯報、香港電台、有線新聞等等。請問你有沒有讚好／追蹤傳統媒體專頁？,0.040913402,0.200493313,-0.1324484,-0.195794677,,-0.423830991,1,,0.798935462,,-0.182050514,-0.20161946,0.073437351,0.282662703,0.266728636,0.058054481,0.126908511,0.064965376,0.086894651,-0.04125685,0.000840298,0.152980554
Q13,以下問題是有關你在透過傳統媒體專頁消費新聞的頻率，請根據你平常的使用行為作答，每行只需選擇一個答案。,-0.064380187,-0.275011348,0.641540387,0.217580723,,0.115573,,1,-0.213621178,0.793523034,-0.136215107,0.704533916,0.39191988,-0.154552817,0.032915295,-0.075470743,-0.06925294,-0.330995236,0.168656767,0.056260198,-0.179852258,-0.074226219
Q14,"網絡媒體專頁是指由非傳統新聞機構營運的專頁，例子有立場新聞、輔仁網、香港獨立媒體網等。
請問你有沒有讚好／追蹤網絡媒體專頁？",-0.02793267,0.189122172,-0.282864102,-0.063931162,,-0.331266176,0.798935462,-0.213621178,1,,-0.227866358,-0.260289603,-0.018818064,0.119898608,0.042801929,0.013840913,0.066437914,0.115873765,-0.037980745,-0.051639778,0.020503773,0.140275595
